Time,Record No,Azimuth,Pitch,Roll,Accel-X,Accel-Y,Accel-Z
08:35:19,37,-2.0044255,1.2473247, 3.0125287,-0.065092355, -3.6258688, 8.915558
08:35:19,38,-2.0365486,1.2293752, 3.0419326,-0.065092355, -3.6258688, 8.915558
08:35:19,39,-2.0365486,1.2293752, 3.0419326,0.037858315, -3.6929064, 8.805425
08:35:19,40,-2.0495453,1.2207838, 3.0543778,0.037858315, -3.6929064, 8.805425
08:35:19,41,-2.0495453,1.2207838, 3.0543778,0.042646717, -3.8389528, 8.862885
08:35:19,42,-2.0708897,1.2049613, 3.0762634,0.042646717, -3.8389528, 8.862885
08:35:20,43,-2.0708897,1.2049613, 3.0762634,-0.079457566, -3.8437412, 8.704868
08:35:20,44,-2.0881965,1.1900889, 3.0912457,-0.079457566, -3.8437412, 8.704868
08:35:20,45,-2.0881965,1.1900889, 3.0912457,0.08334815, -3.9227498, 8.704868
08:35:20,46,-2.1090307,1.1767448, 3.1068175,0.08334815, -3.9227498, 8.704868
08:35:20,47,-2.1090307,1.1767448, 3.1068175,0.09531915, -4.028095, 8.7192335
08:35:20,48,-2.1184025,1.1710763, 3.113945,0.09531915, -4.028095, 8.7192335
08:35:20,49,-2.1184025,1.1710763, 3.113945,0.07855974, -4.078373, 8.707263
08:35:20,50,-2.1320643,1.1627381, 3.1253083,0.07855974, -4.078373, 8.707263
08:35:20,51,-2.1320643,1.1627381, 3.1253083,0.10010756, -3.937115, 8.779089
08:35:20,52,-2.1319077,1.1623427, 3.1263676,0.10010756, -3.937115, 8.779089
08:35:20,53,-2.1319077,1.1623427, 3.1263676,0.08095395, -4.092738, 8.652196
08:35:20,54,-2.1314943,1.1575607, 3.1286948,0.08095395, -4.092738, 8.652196
08:35:20,55,-2.1314943,1.1575607, 3.1286948,0.10968436, -4.054431, 8.582765
08:35:20,56,-2.1305544,1.1557671, 3.1289816,0.10968436, -4.054431, 8.582765
08:35:20,57,-2.1305544,1.1557671, 3.1289816,-0.021996727, -3.982605, 8.6952915
08:35:20,58,-2.1283932,1.1538556, 3.1286077,-0.021996727, -3.982605, 8.6952915
08:35:20,59,-2.1283932,1.1538556, 3.1286077,0.023493104, -4.044854, 8.664167
08:35:20,60,-2.127238,1.1528168, 3.1279633,0.023493104, -4.044854, 8.664167
08:35:20,61,-2.127238,1.1528168, 3.1279633,0.03067571, -4.0879498, 8.640225
08:35:20,62,-2.128569,1.151162, 3.1286643,0.03067571, -4.0879498, 8.640225
08:35:20,63,-2.128569,1.151162, 3.1286643,0.049829323, -3.9658456, 8.738387
08:35:20,64,-2.1306698,1.1508201, 3.1299856,0.049829323, -3.9658456, 8.738387
08:35:20,65,-2.1306698,1.1508201, 3.1299856,0.04504092, -4.032883, 8.798243
08:35:20,66,-2.1368897,1.1482077, 3.1339216,0.04504092, -4.032883, 8.798243
08:35:20,67,-2.1368897,1.1482077, 3.1339216,0.018704701, -4.0233064, 8.697686
08:35:20,68,-2.1419559,1.1461682, 3.136907,0.018704701, -4.0233064, 8.697686
08:35:20,69,-2.1419559,1.1461682, 3.136907,0.09053075, -3.9562688, 8.688109
08:35:20,70,-2.14218,1.1461163, 3.137146,0.09053075, -3.9562688, 8.688109
08:35:21,71,-2.14218,1.1461163, 3.137146,0.054617725, -4.066402, 8.690503
08:35:21,72,-2.1452115,1.1446352, 3.1393497,0.054617725, -4.066402, 8.690503
08:35:21,73,-2.1452115,1.1446352, 3.1393497,0.054617725, -4.0233064, 8.692898
08:35:21,74,-2.145371,1.1445678, 3.139524,0.054617725, -4.0233064, 8.692898
08:35:21,75,-2.145371,1.1445678, 3.139524,0.049829323, -3.9658456, 8.752752
08:35:21,76,-2.1477473,1.1435924, 3.141237,0.049829323, -3.9658456, 8.752752
08:35:21,77,-2.1477473,1.1435924, 3.141237,0.06419453, -4.0233064, 8.599524
08:35:21,78,-2.1532924,1.1410617, -3.1373072,0.06419453, -4.0233064, 8.599524
08:35:21,79,-2.1532924,1.1410617, -3.1373072,0.023493104, -4.0233064, 8.721628
08:35:21,80,-2.1578014,1.139612, -3.1339064,0.023493104, -4.0233064, 8.721628
08:35:21,81,-2.1578014,1.139612, -3.1339064,0.033069912, -4.080767, 8.692898
08:35:21,82,-2.1605701,1.1377635, -3.1318946,0.033069912, -4.080767, 8.692898
08:35:21,83,-2.1605701,1.1377635, -3.1318946,0.11686697, -4.0017586, 8.621072
08:35:21,84,-2.1649463,1.136305, -3.1278288,0.11686697, -4.0017586, 8.621072
08:35:21,85,-2.1649463,1.136305, -3.1278288,0.10250176, -4.0496426, 8.72881
08:35:21,86,-2.166387,1.1353384, -3.1260324,0.10250176, -4.0496426, 8.72881
08:35:21,87,-2.166387,1.1353384, -3.1260324,0.09053075, -4.020912, 8.67135
08:35:21,88,-2.1675336,1.1346905, -3.1245446,0.09053075, -4.020912, 8.67135
08:35:21,89,-2.1675336,1.1346905, -3.1245446,0.1455974, -4.0640078, 8.740782
08:35:21,90,-2.1686032,1.1336634, -3.1232164,0.1455974, -4.0640078, 8.740782
08:35:21,91,-2.1686032,1.1336634, -3.1232164,0.09531915, -4.052037, 8.704868
08:35:21,92,-2.1681929,1.133088, -3.123525,0.09531915, -4.052037, 8.704868
08:35:21,93,-2.1681929,1.133088, -3.123525,0.052223526, -4.052037, 8.72881
08:35:21,94,-2.1679747,1.132024, -3.1236792,0.052223526, -4.052037, 8.72881
08:35:21,95,-2.1679747,1.132024, -3.1236792,0.03546411, -4.0616136, 8.726417
